,tenant id,na_count,total count,quality%_by_NA_count
0,10,7,52,86.53846153846153
1,18,13,2548,99.48979591836735
2,44,181,1924,90.5925155925156
3,107,7,26,73.07692307692308
4,124,2,13,84.61538461538461
5,169,1,13,92.3076923076923
6,182,1,13,92.3076923076923
7,206,177,7371,97.5986975986976
8,289,74,6786,98.90951959917477
9,303,7,182,96.15384615384616
10,362,3,13,76.92307692307692
11,407,1,13,92.3076923076923
12,602,2,13,84.61538461538461
13,969,3,13,76.92307692307692
14,1057,87,1066,91.83864915572232
15,1062,0,104,100.0
16,1090,3,13,76.92307692307692
17,1098,205,793,74.14880201765448
18,1157,49,221,77.82805429864254
19,1284,5,13,61.53846153846154
20,1302,220,4277,94.85620762216507
21,1427,11,65,83.07692307692308
22,1604,1,13,92.3076923076923
23,1746,0,13,100.0
24,1785,651,2522,74.18715305313243
25,1793,3,13,76.92307692307692
26,1805,356,1105,67.78280542986425
27,1818,646,2522,74.38540840602695
28,1824,16,65,75.38461538461539
29,1836,2145,7462,71.25435540069687
30,1840,1795,7852,77.1395822720326
31,1933,0,13,100.0
32,2083,0,65,100.0
33,2129,337,1001,66.33366633366634
34,2240,0,13,100.0
35,2241,85,468,81.83760683760684
36,2242,0,26,100.0
37,2243,3,39,92.3076923076923
38,2244,5,286,98.25174825174825
39,2245,0,13,100.0
40,2259,1,143,99.3006993006993
41,2274,0,13,100.0
42,2275,1,13,92.3076923076923
43,2280,0,26,100.0
44,2288,1,13,92.3076923076923
45,2291,0,13,100.0
46,2292,0,13,100.0
47,2293,0,13,100.0
48,2294,0,13,100.0
49,2295,0,13,100.0
50,2296,0,13,100.0
51,2297,0,13,100.0
52,2298,0,13,100.0
53,2299,0,13,100.0
54,2300,0,13,100.0
55,2303,1,13,92.3076923076923
56,2304,1,26,96.15384615384616
57,2305,1,13,92.3076923076923
58,2306,0,13,100.0
59,2308,0,13,100.0
60,2309,0,13,100.0
61,2311,1,13,92.3076923076923
62,2312,4,13,69.23076923076923
63,2331,0,13,100.0
64,2530,1,13,92.3076923076923
65,2552,79,702,88.74643874643874
66,2588,1,13,92.3076923076923
67,2603,298,845,64.73372781065089
68,2626,2300,5980,61.53846153846154
69,2644,0,13,100.0
70,2667,1,13,92.3076923076923
71,2751,1,13,92.3076923076923
72,2776,0,13,100.0
73,2936,1,13,92.3076923076923
74,2954,0,52,100.0
75,2980,936,7826,88.03986710963456
76,2990,582,2171,73.19207738369415
77,3038,3,13,76.92307692307692
78,3115,1,130,99.23076923076923
79,3183,0,26,100.0
80,3281,0,13,100.0
81,3332,1,13,92.3076923076923
82,3432,10,91,89.01098901098901
83,3474,2,13,84.61538461538461
84,3475,1,65,98.46153846153847
85,3542,0,39,100.0
86,3648,5,26,80.76923076923077
87,3752,1,26,96.15384615384616
88,3775,9,26,65.38461538461539
89,3787,0,39,100.0
90,3812,0,26,100.0
91,3821,1,13,92.3076923076923
92,3824,1,13,92.3076923076923
93,3848,11,143,92.3076923076923
94,4009,0,65,100.0
95,4020,2,13,84.61538461538461
96,4026,2,13,84.61538461538461
97,4046,1014,5798,82.51121076233184
98,4215,0,13,100.0
99,4224,1,13,92.3076923076923
100,4227,1,13,92.3076923076923
101,4232,1,13,92.3076923076923
102,4239,0,13,100.0
103,4242,0,13,100.0
104,4268,0,13,100.0
105,4278,0,13,100.0
106,4283,0,26,100.0
107,4285,0,26,100.0
108,4286,1,26,96.15384615384616
109,4290,0,26,100.0
110,4296,0,26,100.0
111,4298,0,13,100.0
112,4299,7,39,82.05128205128204
113,4300,1,26,96.15384615384616
114,4307,60,364,83.51648351648352
115,4318,0,13,100.0
116,4342,1,13,92.3076923076923
117,4355,926,5356,82.7109783420463
118,4441,0,13,100.0
119,4460,0,13,100.0
120,4543,1,13,92.3076923076923
121,4560,192,1768,89.14027149321267
122,4634,2554,13897,81.62193279124992
123,4702,12,65,81.53846153846155
124,4767,4,52,92.3076923076923
125,4788,1,26,96.15384615384616
126,4789,1,13,92.3076923076923
127,4799,2,234,99.14529914529915
128,4802,2,104,98.07692307692308
129,4806,2,325,99.38461538461539
130,4842,1,13,92.3076923076923
131,4904,3,39,92.3076923076923
132,4962,36,2223,98.38056680161944
133,5117,1,13,92.3076923076923
134,5118,60,351,82.90598290598291
135,5121,7,39,82.05128205128204
136,5122,15,416,96.39423076923077
137,5123,20,104,80.76923076923077
138,5124,12,78,84.61538461538461
139,5125,35,208,83.17307692307692
140,5222,3,52,94.23076923076923
141,5247,0,13,100.0
142,5378,12,117,89.74358974358974
143,5656,0,65,100.0
144,5766,1,13,92.3076923076923
145,5825,3,13,76.92307692307692
146,5826,4,13,69.23076923076923
147,5827,3,13,76.92307692307692
148,5829,3,13,76.92307692307692
149,5831,3,13,76.92307692307692
150,5832,3,13,76.92307692307692
151,5833,3,13,76.92307692307692
152,5834,4,13,69.23076923076923
153,5836,3,13,76.92307692307692
154,5837,3,13,76.92307692307692
155,5838,3,13,76.92307692307692
156,5839,3,13,76.92307692307692
157,5840,3,13,76.92307692307692
158,5841,3,13,76.92307692307692
159,5842,3,13,76.92307692307692
160,5843,4,13,69.23076923076923
161,5844,3,13,76.92307692307692
162,5845,3,13,76.92307692307692
163,5846,3,13,76.92307692307692
164,5847,3,13,76.92307692307692
165,5848,3,13,76.92307692307692
166,5849,3,13,76.92307692307692
167,5850,4,13,69.23076923076923
168,5851,3,13,76.92307692307692
169,5852,3,13,76.92307692307692
170,5853,4,13,69.23076923076923
171,5854,3,13,76.92307692307692
172,5855,4,13,69.23076923076923
173,5856,4,13,69.23076923076923
174,5857,3,13,76.92307692307692
175,5858,3,13,76.92307692307692
176,5859,4,13,69.23076923076923
177,5860,3,13,76.92307692307692
178,5861,3,13,76.92307692307692
179,5862,4,13,69.23076923076923
180,5863,4,13,69.23076923076923
181,5864,3,13,76.92307692307692
182,5865,3,13,76.92307692307692
183,5867,3,13,76.92307692307692
184,5868,3,13,76.92307692307692
185,5869,3,13,76.92307692307692
186,5870,4,13,69.23076923076923
187,5871,3,13,76.92307692307692
188,5872,3,13,76.92307692307692
189,5873,3,13,76.92307692307692
190,5874,3,13,76.92307692307692
191,5875,4,13,69.23076923076923
192,5876,3,13,76.92307692307692
193,5877,3,13,76.92307692307692
194,5878,3,13,76.92307692307692
195,5879,3,13,76.92307692307692
196,5880,3,13,76.92307692307692
197,5881,4,13,69.23076923076923
198,5882,4,13,69.23076923076923
199,5883,3,13,76.92307692307692
200,5884,3,13,76.92307692307692
201,5885,3,13,76.92307692307692
202,5886,3,13,76.92307692307692
203,5887,3,13,76.92307692307692
204,5888,3,13,76.92307692307692
205,5889,3,13,76.92307692307692
206,5890,4,13,69.23076923076923
207,5891,4,13,69.23076923076923
208,5892,3,13,76.92307692307692
209,5893,3,13,76.92307692307692
210,5894,3,13,76.92307692307692
211,5895,3,13,76.92307692307692
212,5896,4,13,69.23076923076923
213,5897,3,13,76.92307692307692
214,5898,4,13,69.23076923076923
215,5899,3,13,76.92307692307692
216,5900,3,13,76.92307692307692
217,5901,3,13,76.92307692307692
218,5902,4,13,69.23076923076923
219,5903,3,13,76.92307692307692
220,5905,3,13,76.92307692307692
221,5906,3,13,76.92307692307692
222,5907,4,13,69.23076923076923
223,5908,3,13,76.92307692307692
224,5909,3,13,76.92307692307692
225,5910,3,13,76.92307692307692
226,5911,4,13,69.23076923076923
227,5912,4,13,69.23076923076923
228,5914,3,13,76.92307692307692
229,5915,3,13,76.92307692307692
230,5916,4,13,69.23076923076923
231,5917,3,13,76.92307692307692
232,5918,3,13,76.92307692307692
233,5919,4,13,69.23076923076923
234,5920,3,13,76.92307692307692
235,5921,3,13,76.92307692307692
236,5922,3,13,76.92307692307692
237,5924,4,13,69.23076923076923
238,5925,3,13,76.92307692307692
239,5926,3,13,76.92307692307692
240,5927,4,13,69.23076923076923
241,5928,3,13,76.92307692307692
242,5929,3,13,76.92307692307692
243,5930,4,13,69.23076923076923
244,5931,3,13,76.92307692307692
245,5932,4,13,69.23076923076923
246,5933,4,13,69.23076923076923
247,5934,3,13,76.92307692307692
248,5935,3,13,76.92307692307692
249,5936,4,13,69.23076923076923
250,5937,3,13,76.92307692307692
251,5938,3,13,76.92307692307692
252,5939,3,13,76.92307692307692
253,5940,4,13,69.23076923076923
254,5941,4,13,69.23076923076923
255,5942,3,13,76.92307692307692
256,5943,3,13,76.92307692307692
257,5944,3,13,76.92307692307692
258,5945,3,13,76.92307692307692
259,5946,3,13,76.92307692307692
260,5948,3,13,76.92307692307692
261,5949,3,13,76.92307692307692
262,5950,4,13,69.23076923076923
263,5951,3,13,76.92307692307692
264,5952,3,13,76.92307692307692
265,5953,3,13,76.92307692307692
266,5954,3,13,76.92307692307692
267,5956,3,13,76.92307692307692
268,5957,3,13,76.92307692307692
269,5958,3,13,76.92307692307692
270,5959,2,13,84.61538461538461
271,5960,3,13,76.92307692307692
272,5961,3,13,76.92307692307692
273,5962,3,13,76.92307692307692
274,5963,3,13,76.92307692307692
275,5964,3,13,76.92307692307692
276,5965,3,13,76.92307692307692
277,5966,3,13,76.92307692307692
278,5967,3,13,76.92307692307692
279,5968,3,13,76.92307692307692
280,5969,3,13,76.92307692307692
281,5971,3,13,76.92307692307692
282,5972,3,13,76.92307692307692
283,5974,3,13,76.92307692307692
284,5975,0,39,100.0
285,5976,4,13,69.23076923076923
286,5977,3,13,76.92307692307692
287,5978,3,13,76.92307692307692
288,5979,3,13,76.92307692307692
289,5980,4,13,69.23076923076923
290,5981,2,78,97.43589743589743
291,5982,3,13,76.92307692307692
292,5983,3,13,76.92307692307692
293,5984,3,13,76.92307692307692
294,5985,3,13,76.92307692307692
295,5986,3,13,76.92307692307692
296,5987,4,13,69.23076923076923
297,5988,4,13,69.23076923076923
298,5989,3,13,76.92307692307692
299,5990,4,13,69.23076923076923
300,5991,4,13,69.23076923076923
301,5992,3,13,76.92307692307692
302,5993,3,13,76.92307692307692
303,5994,3,13,76.92307692307692
304,5995,4,13,69.23076923076923
305,5996,4,13,69.23076923076923
306,5997,4,13,69.23076923076923
307,5999,4,13,69.23076923076923
308,6000,3,13,76.92307692307692
309,6001,4,13,69.23076923076923
310,6002,3,13,76.92307692307692
311,6003,3,13,76.92307692307692
312,6004,3,13,76.92307692307692
313,6005,4,13,69.23076923076923
